,Name,Author,Abstract,Download link
10,Generative and reproducible benchmarks for comprehensive evaluation of machine learning classifiers,"['Patryk Orzechowski', 'Jason H. Moore']","Understanding the strengths and weaknesses of machine learning (ML) algorithms is crucial for determine their scope of application. Here, we introduce the DIverse and GENerative ML Benchmark (DIGEN) - a collection of synthetic datasets for comprehensive, reproducible, and interpretable benchmarking of machine learning algorithms for classification of binary outcomes. The DIGEN resource consists of 40 mathematical functions which map continuous features to discrete endpoints for creating synthetic datasets. These 40 functions were discovered using a heuristic algorithm designed to maximize the diversity of performance among multiple popular machine learning algorithms thus providing a useful test suite for evaluating and comparing new methods. Access to the generative functions facilitates understanding of why a method performs poorly compared to other algorithms thus providing ideas for improvement. The resource with extensive documentation and analyses is open-source and available on GitHub.
        △ Less",https://arxiv.org/pdf/2107.06475
11,Adaptive Machine Learning for Time-Varying Systems: Low Dimensional Latent Space Tuning,['Alexander Scheinker'],"Machine learning (ML) tools such as encoder-decoder convolutional neural networks (CNN) can represent incredibly complex nonlinear functions which map between combinations of images and scalars. For example, CNNs can be used to map combinations of accelerator parameters and images which are 2D projections of the 6D phase space distributions of charged particle beams as they are transported between various particle accelerator locations. Despite their strengths, applying ML to time-varying systems, or systems with shifting distributions, is an open problem, especially for large systems for which collecting new data for re-training is impractical or interrupts operations. Particle accelerators are one example of large time-varying systems for which collecting detailed training data requires lengthy dedicated beam measurements which may no longer be available during regular operations. We present a recently developed method of adaptive ML for time-varying systems. Our approach is to map very high (N>100k) dimensional inputs (a combination of scalar parameters and images) into the low dimensional (N~2) latent space at the output of the encoder section of an encoder-decoder CNN. We then actively tune the low dimensional latent space-based representation of complex system dynamics by the addition of an adaptively tuned feedback vector directly before the decoder sections builds back up to our image-based high-dimensional phase space density representations. This method allows us to learn correlations within and to quickly tune the characteristics of incredibly high parameter systems and to track their evolution in real time based on feedback without massive new data sets for re-training.
        △ Less",https://arxiv.org/pdf/2107.06207
12,ML-Quest: A Game for Introducing Machine Learning Concepts to K-12 Students,"['Shruti Priya', 'Shubhankar Bhadra', 'Sridhar Chimalakonda']","Today, Machine Learning (ML) is of a great importance to society due to the availability of huge data and high computational resources. This ultimately led to the introduction of ML concepts at multiple levels of education including K-12 students to promote computational thinking. However, teaching these concepts to K-12 through traditional methodologies such as video lectures and books is challenging. Many studies in the literature have reported that using interactive environments such as games to teach computational thinking and programming improves retention capacity and motivation among students. Therefore, introducing ML concepts using a game might enhance students' understanding of the subject and motivate them to learn further. However, we are not aware of any existing game which explicitly focuses on introducing ML concepts to students using game play. Hence, in this paper, we propose ML-Quest, a 3D video game to provide conceptual overview of three ML concepts: Supervised Learning, Gradient Descent and K-Nearest Neighbor (KNN) Classification. The crux of the game is to introduce the definition and working of these concepts, which we call conceptual overview, in a simulated scenario without overwhelming students with the intricacies of ML. The game has been predominantly evaluated for its usefulness and player experience using the Technology Acceptance Model (TAM) model with the help of 23 higher-secondary school students. The survey result shows that around 70% of the participants either agree or strongly agree that the ML-Quest is quite interactive and useful in introducing them to ML concepts.
        △ Less",https://arxiv.org/pdf/2107.06206
13,Towards Machine Learning-Enabled Context Adaption for Reliable Aerial Mesh Routing,"['Cedrik Schüler', 'Benjamin Sliwa', 'Christian Wietfeld']","In this paper, we present Context-Adaptive PARRoT (CA-PARRoT) as an extension of our previous work Predictive Ad-hoc Routing fueled by Reinforcement learning and Trajectory knowledge (PARRoT). Short-term effects, as occurring in urban surroundings, have shown to have a negative impact on the Reinforcement Learning (RL)-based routing process. Therefore, we add a timer-based compensation mechanism to the update process and introduce a hybrid Machine Learning (ML) approach to classify Radio Environment Prototypes (REPs) with a dedicated ML component and enable the protocol for autonomous context adaption. The performance of the novel protocol is evaluated in comprehensive network simulations considering different REPs and is compared to well-known established routing protocols for Mobile Ad-hoc Networks (MANETs). The results show, that CA-PARRoT is capable to compensate the challenges confronted with in different REPs and to improve its Key Performance Indicators (KPIs) up to 23% compared to PARRoT, and outperform established routing protocols by up to 50 %.
        △ Less",https://arxiv.org/pdf/2107.06190
14,On doubly robust inference for double machine learning,"['Oliver Dukes', 'Stijn Vansteelandt', 'David Whitney']","Due to concerns about parametric model misspecification, there is interest in using machine learning to adjust for confounding when evaluating the causal effect of an exposure on an outcome. Unfortunately, exposure effect estimators that rely on machine learning predictions are generally subject to so-called plug-in bias, which can render naive p-values and confidence intervals invalid. Progress has been made via proposals like targeted maximum likelihood estimation and more recently double machine learning, which rely on learning the conditional mean of both the outcome and exposure. Valid inference can then be obtained so long as both predictions converge (sufficiently fast) to the truth. Focusing on partially linear regression models, we show that a specific implementation of the machine learning techniques can yield exposure effect estimators that have small bias even when one of the first-stage predictions does not converge to the truth. The resulting tests and confidence intervals are doubly robust. We also show that the proposed estimators may fail to be regular when only one nuisance parameter is consistently estimated; nevertheless, we observe in simulation studies that our proposal leads to reduced bias and improved confidence interval coverage in moderate samples.
        △ Less",https://arxiv.org/pdf/2107.06124
15,On Choice of Hyper-parameter in Extreme Value Theory based on Machine Learning Techniques,['Chikara Nakamura'],"Extreme value theory (EVT) is a statistical tool for analysis of extreme events. It has a strong theoretical background, however, we need to choose hyper-parameters
  to apply EVT. In recent studies of machine learning, techniques of choosing hyper-parameters have been well-studied. In this paper, we propose a new method of choosing hyper-parameters in EVT based on machine learning techniques. We also experiment our method to real-world data and show good usability of our method.
        △ Less",https://arxiv.org/pdf/2107.06074
16,Parametrization of Non-Bonded Force Field Terms for Metal-Organic Frameworks Using Machine Learning Approach,"['Vadim V. Korolev', 'Yurii M. Nevolin', 'Thomas A. Manz', 'Pavel V. Protsenko']","The enormous structural and chemical diversity of metal-organic frameworks (MOFs) forces researchers to actively use simulation techniques on an equal footing with experiments. MOFs are widely known for outstanding adsorption properties, so precise description of host-guest interactions is essential for high-throughput screening aimed at ranking the most promising candidates. However, highly accurate ab initio calculations cannot be routinely applied to model thousands of structures due to the demanding computational costs. On the other side, methods based on force field (FF) parametrization suffer from low transferability. To resolve this accuracy-efficiency dilemma, we apply the machine learning (ML) approach. The trained models reproduce atom-in-material quantities, including partial charges, polarizabilities, dispersion coefficients, quantum Drude oscillator and electron cloud parameters within the accuracy of underlying density functional theory method. The aforementioned FF precursors make it possible to thoroughly describe non-covalent interactions typical for MOF-adsorbate systems: electrostatic, dispersion, polarization, and short-range repulsion. The presented approach can also significantly facilitate hybrid atomistic simulations/ML workflows.
        △ Less",https://arxiv.org/pdf/2107.06044
17,AutoScore-Imbalance: An interpretable machine learning tool for development of clinical scores with rare events data,"['Han Yuan', 'Feng Xie', 'Marcus Eng Hock Ong', 'Yilin Ning', 'Marcel Lucas Chee', 'Seyed Ehsan Saffari', 'Hairil Rizal Abdullah', 'Benjamin Alan Goldstein', 'Bibhas Chakraborty', 'Nan Liu']","Background: Medical decision-making impacts both individual and public health. Clinical scores are commonly used among a wide variety of decision-making models for determining the degree of disease deterioration at the bedside. AutoScore was proposed as a useful clinical score generator based on machine learning and a generalized linear model. Its current framework, however, still leaves room for improvement when addressing unbalanced data of rare events. Methods: Using machine intelligence approaches, we developed AutoScore-Imbalance, which comprises three components: training dataset optimization, sample weight optimization, and adjusted AutoScore. All scoring models were evaluated on the basis of their area under the curve (AUC) in the receiver operating characteristic analysis and balanced accuracy (i.e., mean value of sensitivity and specificity). By utilizing a publicly accessible dataset from Beth Israel Deaconess Medical Center, we assessed the proposed model and baseline approaches in the prediction of inpatient mortality. Results: AutoScore-Imbalance outperformed baselines in terms of AUC and balanced accuracy. The nine-variable AutoScore-Imbalance sub-model achieved the highest AUC of 0.786 (0.732-0.839) while the eleven-variable original AutoScore obtained an AUC of 0.723 (0.663-0.783), and the logistic regression with 21 variables obtained an AUC of 0.743 (0.685-0.800). The AutoScore-Imbalance sub-model (using down-sampling algorithm) yielded an AUC of 0. 0.771 (0.718-0.823) with only five variables, demonstrating a good balance between performance and variable sparsity. Conclusions: The AutoScore-Imbalance tool has the potential to be applied to highly unbalanced datasets to gain further insight into rare medical events and to facilitate real-world clinical decision-making.
        △ Less",https://arxiv.org/pdf/2107.06039
18,Representing individual electronic states in crystals for machine learning quasiparticle band structures,"['Nikolaj Rørbæk Knøsgaard', 'Kristian Sommer Thygesen']","We address the problem of representing quantum states of electrons in a solid for the purpose of machine leaning state-specific electronic properties. Specifically, we construct a fingerprint based on energy decomposed operator matrix elements (ENDOME) and radially decomposed projected density of states (RAD-PDOS), which are both obtainable from a standard density functional theory (DFT) calculation. Using such fingerprints we train a gradient boosting model on a set of 46k G_0W_0 quasiparticle energies. The resulting model predicts the self-energy correction of states in materials not seen by the model with a mean absolute error of 0.14 eV. By including the material's calculated dielectric constant in the fingerprint the error can be further reduced by 30%, which we find is due to an enhanced ability to learn the correlation/screening part of the self-energy. Our work paves the way for accurate estimates of quasiparticle band structures at the cost of a standard DFT calculation.
        △ Less",https://arxiv.org/pdf/2107.06029
19,Machine-learning potentials enable predictive \textit{and} tractable high-throughput screening of random alloys,"['Max Hodapp', 'Alexander Shapeev']","We present an automated procedure for computing stacking fault energies in random alloys from large-scale simulations using moment tensor potentials (MTPs) with the accuracy of density functional theory (DFT). To that end, we develop an algorithm for training MTPs on random alloys. In the first step, our algorithm constructs a set of ~10000 or more training candidate configurations with 50-100 atoms that are representative for the atomic neighborhoods occurring in the large-scale simulation. In the second step, we use active learning to reduce this set to ~100 most distinct configurations - for which DFT energies and forces are computed and on which the potential is ultimately trained. We validate our algorithm for the MoNbTa medium-entropy alloy by showing that the MTP reproduces the DFT \frac{1}{4}[111] unstable stacking fault energy over the entire compositional space up to a few percent.
  Contrary to state-of-the-art methods, e.g., the coherent potential approximation (CPA) or special quasi-random structures (SQSs), our algorithm naturally accounts for relaxation, is not limited by DFT cell sizes, and opens opportunities to efficiently investigate follow-up problems, such as chemical ordering. In a broader sense, our algorithm can be easily modified to compute related properties of random alloys, for instance, misfit volumes, or grain boundary energies. Moreover, it forms the basis for an efficient construction of MTPs to be used in large-scale simulations of multicomponent systems.
        △ Less",https://arxiv.org/pdf/2107.05620
20,Nonlinear Least Squares for Large-Scale Machine Learning using Stochastic Jacobian Estimates,['Johannes J. Brust'],"For large nonlinear least squares loss functions in machine learning we exploit the property that the number of model parameters typically exceeds the data in one batch. This implies a low-rank structure in the Hessian of the loss, which enables effective means to compute search directions. Using this property, we develop two algorithms that estimate Jacobian matrices and perform well when compared to state-of-the-art methods.
        △ Less",https://arxiv.org/pdf/2107.05598
21,Investor Behavior Modeling by Analyzing Financial Advisor Notes: A Machine Learning Perspective,"['Cynthia Pagliaro', 'Dhagash Mehta', 'Han-Tai Shiao', 'Shaofei Wang', 'Luwei Xiong']","Modeling investor behavior is crucial to identifying behavioral coaching opportunities for financial advisors. With the help of natural language processing (NLP) we analyze an unstructured (textual) dataset of financial advisors' summary notes, taken after every investor conversation, to gain first ever insights into advisor-investor interactions. These insights are used to predict investor needs during adverse market conditions; thus allowing advisors to coach investors and help avoid inappropriate financial decision-making. First, we perform topic modeling to gain insight into the emerging topics and trends. Based on this insight, we construct a supervised classification model to predict the probability that an advised investor will require behavioral coaching during volatile market periods. To the best of our knowledge, ours is the first work on exploring the advisor-investor relationship using unstructured data. This work may have far-reaching implications for both traditional and emerging financial advisory service models like robo-advising.
        △ Less",https://arxiv.org/pdf/2107.05592
22,OmniLytics: A Blockchain-based Secure Data Market for Decentralized Machine Learning,"['Jiacheng Liang', 'Wensi Jiang', 'Songze Li']","We propose OmniLytics, a blockchain-based secure data trading marketplace for machine learning applications. Utilizing OmniLytics, many distributed data owners can contribute their private data to collectively train a ML model requested by some model owners, and get compensated for data contribution. OmniLytics enables such model training while simultaneously providing 1) model security against curious data owners; 2) data security against curious model and data owners; 3) resilience to malicious data owners who provide faulty results to poison model training; and 4) resilience to malicious model owner who intents to evade the payment. OmniLytics is implemented as a smart contract on the Ethereum blockchain to guarantee the atomicity of payment. In OmniLytics, a model owner publishes encrypted initial model on the contract, over which the participating data owners compute gradients using their private data, and securely aggregate the gradients through the contract. Finally, the contract reimburses the data owners, and the model owner decrypts the aggregated model update. We implement a working prototype of OmniLytics on Ethereum, and perform extensive experiments to measure its gas cost and execution time under various parameter combinations, demonstrating its high computation and cost efficiency and strong practicality.
        △ Less",https://arxiv.org/pdf/2107.05252
23,Fock State-enhanced Expressivity of Quantum Machine Learning Models,"['Beng Yee Gan', 'Daniel Leykam', 'Dimitris G. Angelakis']","The data-embedding process is one of the bottlenecks of quantum machine learning, potentially negating any quantum speedups. In light of this, more effective data-encoding strategies are necessary. We propose a photonic-based bosonic data-encoding scheme that embeds classical data points using fewer encoding layers and circumventing the need for nonlinear optical components by mapping the data points into the high-dimensional Fock space. The expressive power of the circuit can be controlled via the number of input photons. Our work shed some light on the unique advantages offers by quantum photonics on the expressive power of quantum machine learning models. By leveraging the photon-number dependent expressive power, we propose three different noisy intermediate-scale quantum-compatible binary classification methods with different scaling of required resources suitable for different supervised classification tasks.
        △ Less",https://arxiv.org/pdf/2107.05224
24,Sampling Lattices in Semi-Grand Canonical Ensemble with Autoregressive Machine Learning,"['James Damewood', 'Daniel Schwalbe-Koda', 'Rafael Gomez-Bombarelli']","Calculating thermodynamic potentials and observables efficiently and accurately is key for the application of statistical mechanics simulations to materials science. However, naive Monte Carlo approaches, on which such calculations are often dependent, struggle to scale to complex materials in many state-of-the-art disciplines such as the design of high entropy alloys or multicomponent catalysts. To address this issue, we adapt sampling tools built upon machine-learning based generative modeling to the materials space by transforming them into the semi-grand canonical ensemble. Furthermore, we show that the resulting models are transferable across wide-ranges of thermodynamic conditions and can be implemented with any internal energy model U, allowing integration into many existing materials workflows. We demonstrate the applicability of this approach to the simulation of benchmark systems (AgPd, CuAu) that exhibit diverse thermodynamic behavior in their phase diagrams. Finally, we discuss remaining challenges in model development and promising research directions for future improvements.
        △ Less",https://arxiv.org/pdf/2107.05109
25,Gradient domain machine learning with complex kernels: improving the accuracy of PES and force fields for large molecules,"['Kasra Asnaashari', 'Roman V. Krems']","The generalization accuracy of machine learning models of potential energy surfaces (PES) and force fields (FF) for large polyatomic molecules can be generally improved either by increasing the number of training points or by improving the models. In order to build accurate models based on expensive high-level ab initio calculations, much of recent work has focused on the latter. In particular, it has been shown that gradient domain machine learning (GDML) models produce accurate results for high-dimensional molecular systems with a small number of ab initio calculations. The present work extends GDML to models with complex kernels built to maximize inference from a small number of molecular geometries. We illustrate that GDML models can be improved by increasing the complexity of underlying kernels through a greedy search algorithm using Bayesian information criterion as the model selection metric. We show that this requires including anisotropy into kernel functions and produces models with significantly smaller generalization errors. The results are presented for ethanol, uracil, malonaldehyde and aspirin. For aspirin, the model with complex kernels trained by forces at 1000 randomly sampled molecular geometries produces a global 57-dimensional PES with the mean absolute accuracy 0.177 kcal/mol (61.9 cm^{-1}) and FFs with the mean absolute error 0.457 kcal/mol Å^{-1}.
        △ Less",https://arxiv.org/pdf/2107.04779
26,"Machine Learning for Stuttering Identification: Review, Challenges & Future Directions","['Shakeel Ahmad Sheikh', 'Md Sahidullah', 'Fabrice Hirsch', 'Slim Ouni']","Stuttering is a speech disorder during which the flow of speech is interrupted by involuntary pauses and repetition of sounds. Stuttering identification is an interesting interdisciplinary domain research problem which involves pathology, psychology, acoustics, and signal processing that makes it hard and complicated to detect. Recent developments in machine and deep learning have dramatically revolutionized speech domain, however minimal attention has been given to stuttering identification. This work fills the gap by trying to bring researchers together from interdisciplinary fields. In this paper, we review comprehensively acoustic features, statistical and deep learning based stuttering/disfluency classification methods. We also present several challenges and possible future directions.
        △ Less",https://arxiv.org/pdf/2107.04057
27,"Prediction of Solar Proton Events with Machine Learning: Comparison with Operational Forecasts and ""All-Clear"" Perspectives","['Viacheslav Sadykov', 'Alexander Kosovichev', 'Irina Kitiashvili', 'Vincent Oria', 'Gelu M Nita', 'Egor Illarionov', ""Patrick O'Keefe"", 'Yucheng Jiang', 'Sheldon Fereira', 'Aatiya Ali']","Solar Energetic Particle events (SEPs) are among the most dangerous transient phenomena of solar activity. As hazardous radiation, SEPs may affect the health of astronauts in outer space and adversely impact current and future space exploration. In this paper, we consider the problem of daily prediction of Solar Proton Events (SPEs) based on the characteristics of the magnetic fields in solar Active Regions (ARs), preceding soft X-ray and proton fluxes, and statistics of solar radio bursts. The machine learning (ML) algorithm uses an artificial neural network of custom architecture designed for whole-Sun input. The predictions of the ML model are compared with the SWPC NOAA operational forecasts of SPEs. Our preliminary results indicate that 1) for the AR-based predictions, it is necessary to take into account ARs at the western limb and on the far side of the Sun; 2) characteristics of the preceding proton flux represent the most valuable input for prediction; 3) daily median characteristics of ARs and the counts of type II, III, and IV radio bursts may be excluded from the forecast without performance loss; and 4) ML-based forecasts outperform SWPC NOAA forecasts in situations in which missing SPE events is very undesirable. The introduced approach indicates the possibility of developing robust ""all-clear"" SPE forecasts by employing machine learning methods.
        △ Less",https://arxiv.org/pdf/2107.03911
28,Designing Machine Learning Pipeline Toolkit for AutoML Surrogate Modeling Optimization,"['Paulito P. Palmes', 'Akihiro Kishimoto', 'Radu Marinescu', 'Parikshit Ram', 'Elizabeth Daly']","The pipeline optimization problem in machine learning requires simultaneous optimization of pipeline structures and parameter adaptation of their elements. Having an elegant way to express these structures can help lessen the complexity in the management and analysis of their performances together with the different choices of optimization strategies. With these issues in mind, we created the AutoMLPipeline (AMLP) toolkit which facilitates the creation and evaluation of complex machine learning pipeline structures using simple expressions. We use AMLP to find optimal pipeline signatures, datamine them, and use these datamined features to speed-up learning and prediction. We formulated a two-stage pipeline optimization with surrogate modeling in AMLP which outperforms other AutoML approaches with a 4-hour time budget in less than 5 minutes of AMLP computation time.
        △ Less",https://arxiv.org/pdf/2107.01253
